序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
1,2019-03-22 00:00:00,4943,49431,康控一KY,15.7,15.0,3,無擔保,9,13500,100.0,2019-03-20 00:00:00,124.5,121.1,1.02,102.8075970272502,100.5,-0.02244578313253032,102.07,-0.00717453815261071,中信證券,電子零組件業,829,19751,1.463037037037037,23.82509047044632,2019/03/18,1350.0,2019/04/02,1377907550.0,1.0,159.0,102.07
2,2019-09-02 00:00:00,4736,47363,泰博三,9.22,15.0,5,有擔保,4,12752,100.0,2019-08-07 00:00:00,126.0,140.0,1.0566,90.0,107.17,0.1907777777777777,108.46,0.205111111111111,凱基證券,生技醫療業,1559,54356,4.262547051442911,34.86593970493907,2019/08/05,1275.0,2019/08/21,1394223850.0,0.5,140.1,109.33
3,2019-11-04 00:00:00,8028,80281,昇陽一,13.2,10.0,3,無擔保,6,8732,102.0,2019-10-31 00:00:00,76.8,76.1,1.02,100.9198423127464,108.45,0.07461523437499995,109.92,0.08918124999999999,富邦證券,半導體業,1063,31398,3.595739807604214,29.53715898400753,,,,,,,
4,2019-12-02 00:00:00,2729,27291,瓦城一,2.33,8.0,3,無擔保,5,6880,102.0,2019-11-28 00:00:00,286.0,300.0,1.0722,95.33333333333334,102.81,0.07842657342657344,107.3,0.1255244755244753,富邦證券,觀光餐旅,674,11341,1.648401162790698,16.82640949554896,,,,,,,
5,2019-12-11 00:00:00,6477,64771,安集一,11.4,3.0,5,無擔保,6,2550,100.0,2019-12-09 00:00:00,22.65,23.0,1.02,98.47826086956522,100.51,0.02063134657836652,101.59,0.03159823399558492,福邦證券,光電業,187,4116,1.614117647058823,22.01069518716578,2019/12/05,255.0,2019/12/20,259066700.0,0.5,109.22,101.59
6,2020-01-06 00:00:00,3617,36171,碩天一,8.1,12.0,3,無擔保,5,10200,101.5,2020-01-02 00:00:00,113.0,122.0,1.0961,92.62295081967213,104.1,0.1239115044247787,105.23,0.1361115044247789,宏遠證券,其他電子業,882,24587,2.410490196078432,27.87641723356009,2019/12/30,1020.0,2020/01/15,1073334860.0,0.5,141.0,105.23
7,2020-01-08 00:00:00,1436,14361,華友聯一,9.56,3.0,5,有擔保,8,2550,100.0,2020-01-06 00:00:00,40.95,40.0,1.0521,102.375,106.66,0.04185592185592157,107.73,0.05230769230769217,第一金證,建材營造業,372,7637,2.994901960784314,20.52956989247312,2020/01/02,255.0,2020/01/17,274721790.0,0.5,120.0,107.73
8,2020-01-09 00:00:00,3594,35943,磐儀三,7.16,3.0,3,無擔保,7,2550,100.0,2020-01-07 00:00:00,25.45,22.8,1.02,111.6228070175439,101.65,-0.08934381139489189,104.86,-0.06058624754420439,福邦證券,電腦及週邊設備業,241,4769,1.870196078431372,19.78838174273859,2020/01/03,255.0,2020/01/20,267389720.0,0.5,115.3,104.86
9,2020-02-06 00:00:00,4967,49671,十銓一,7.45,5.0,3,有擔保,6,4250,102.0,2020-02-04 00:00:00,36.55,33.9,1.0688,107.8171091445428,110.7,0.02673871409028727,112.21,0.04074391244870035,群益證券,半導體業,444,11307,2.660470588235294,25.46621621621622,2020/01/31,425.0,2020/02/17,476883600.0,0.5,119.6,112.21
10,2020-02-18 00:00:00,2466,24663,冠希電三,15.6,3.0,3,有擔保,8,2660,102.0,2020-02-14 00:00:00,34.9,38.0,1.08,91.84210526315789,103.11,0.1226876790830946,104.5,0.1378223495702007,中信證券,光電業,481,5011,1.883834586466165,10.41787941787942,2020/02/12,266.0,2020/02/27,277980900.0,0.5,110.0,104.5
