股票代號,詢圈/競拍,標的代號,發行標的,TCRI/擔保,發行量,發行券商,送件日,生效日,詢圈/投標期間,溢價率,轉換價,掛牌日,可拆解選擇權日,承銷價格,年期,賣回條件,股本,股價,60天波動率,備註
3135,詢圈,31351,凌航一,TCRI6,10.0,統一證券,2025/10/31,2025/11/18,11/21-11/24,1.0501,52.19,2025-12-04 00:00:00,無報價2025/12/11,100,3Y,YTP(2)=(1%),7.749340500000001,67.3,80.93,
2732,詢圈,27324,六角四,TCRI5,6.0,華南永昌證,2025/10/31,2025/11/18,11/24-11/26,1.051,74.3,2025-12-08 00:00:00,額度有限2025/12/15,100,5Y,YTP(2)=(0.5%),4.651857,74.9,25.16,
6890,競拍,68902,來億二KY,TCRI5,5.0,富邦證券,2025/10/23,2025/11/11,11/25-11/27,1.02,245.2,2025-12-10 00:00:00,無報價2025/12/17,119.83,3Y,YTM(3)=(0%),24.94,280.5,53.0,
6442,競拍,64423,光聖三,TCRI5,15.0,台新證券,2025/10/21,2025/11/07,11/26-11/28,1.02,1065.9,2025-12-11 00:00:00,2025-12-18 00:00:00,124.86,3Y,YTP(2)=(0%),7.7343078,1190.0,70.77,
5309,詢圈,53096,系統電六,TCRI6,7.0,富邦證券,2025/10/27,2025/11/12,11/28-12/2,1.051,63.5,2025-12-12 00:00:00,無報價2025/12/19,100.5,5Y,YTP(3)=(1%),20.4423777,61.8,56.65,
5309,競拍,53097,系統電七,TCRI6,5.0,富邦證券,2025/10/27,2025/11/12,11/28-12/2,1.028,55,2025-12-15 00:00:00,無報價2025/12/22,116.91,3Y,YTP(2)=(0.5%),20.4423777,60.8,56.65,
8042,詢圈,80426,金山電六,TCRI7,3.5,永豐金證券,2025/10/08,2025/10/28,12/3-12/4,1.0526,60,2025-12-16 00:00:00,無報價2025/12/23,100,3Y,YTP(2)=(0%),12.9462549,57.3,76.42,
4739,競拍,47394,康普四,第一銀行,6.0,福邦證券,2025/11/03,2025/11/19,12/2-12/4,1.086,71,2025-12-17 00:00:00,2025-12-24 00:00:00,110.46,5Y,YTP(3)=(0%),11.864926899999999,69.2,38.92,
6796,詢圈,67962,晉弘二,TCRI7,2.0,富邦證券,2025/10/17,2025/11/05,12/8-12/10,105.01-110%,-,未定,無報價,100.5,3Y,YTP(2)=(0-0.5%),3.823397,94.2,31.96,
6904,競拍,69041,伯鑫一,TCRI6,2.0,國泰證券,2025/10/22,2025/11/10,12/10-12/12,1.04,130,2025-12-26 00:00:00,無報價2026/1/5,102,3Y,YTM(3)=(0%),1.85,120.0,12.76,
3543,競拍,35431,州巧一,中國信託,4.0,福邦證券,2025/10/27,2025-11-27 00:00:00,12/10-12/12,1.048,46.3,2025-12-26 00:00:00,2026-01-05 00:00:00,100,3Y,YTM(3)=(0%),8.926315,44.9,67.83,
6670,競拍,66702,復盛應用二,TCRI3,15.0,台新證券,2025/06/18,2025/07/04,12/10-12/12,1.0568,270,2025-12-26 00:00:00,2026-01-05 00:00:00,103,3Y,YTM(3)=(0%),13.9386973,261.5,22.97,延長三個月
2745,競拍,27451,五福一,TCRI4,3.0,台新證券,2025/11/18,2025/12/04,12/17-12/19,1.02,111.3,2026-01-05 00:00:00,額度有限2026/1/12,100,3Y,YTP(2)=(0.5%),3.3808526,105.0,25.44,
