可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業
,,,,,,,,,,,,,,,,,,,
台泥一永,11011.0,twA+,6.26,2027-11-26,100.0,2027-12-10,1.9863013698630136,0.03,3.260000000000005,22.35,35.2,63.49431818181818,97.0,52.76957494407159,24.51,25.54,100.0,8000000000.0,水泥工業
上曜四,13164.0,富邦銀,0.5800000000000001,2026-01-15,100.0,2026-01-29,0.1232876712328767,0.022,5.079999999999998,15.15,14.7,103.06122448979593,104.5,1.396039603960375,36.04,46.93,33.5,400000000.0,建材營建
上曜六,13166.0,板信銀,2.18,2026-12-13,100.5,2026-12-27,1.0328767123287672,0.023,15.080000000000013,15.15,17.4,87.0689655172414,112.9,29.66732673267325,36.04,46.93,100.0,400000000.0,建材營建
遠東新E1永,140201.0,3,4.42,2027-07-25,100.0,2027-08-08,1.6465753424657534,0.025,8.670000000000002,37.7,43.1,87.47099767981439,104.25,19.182360742705562,16.95,22.77,100.0,1000000000.0,紡織纖維
聚隆四,14664.0,台中商銀,6.09,2028-06-06,100.0,2028-06-20,2.515068493150685,0.023,12.439999999999998,14.4,18.8,76.59574468085107,106.35,38.84583333333331,37.45,48.61,100.0,400000000.0,紡織纖維
三洋實業二,14722.0,台中商銀,2.4999999999999996,2027-05-15,101.0025,2027-05-29,1.452054794520548,0.022,8.349999999999994,90.1,98.6,91.37931034482759,105.85,15.835849056603756,21.71,32.27,100.0,300000000.0,建材營建
亞力二,15142.0,6,6.31,2027-12-30,100.7519,2028-01-13,2.0794520547945203,0.0325,22.210000000000008,101.0,109.2,92.49084249084248,115.9,25.309702970297042,32.79,42.35,100.0,1200000000.0,電機機械
中砂一,15601.0,4,4.109999999999999,2027-06-10,100.0,2027-06-24,1.5232876712328767,0.025,42.110000000000014,369.0,284.6,129.65565706254392,138.0,6.435772357723568,39.23,47.44,99.94,1000000000.0,電機機械
和勤四,15864.0,合庫,1.86,2026-08-16,100.0,2026-08-30,0.7068493150684931,0.022,11.36,26.85,30.74,87.3454782042941,109.5,25.364245810055852,32.49,29.97,100.0,200000000.0,電機機械
大亞五,16095.0,5,6.72,2027-09-16,100.75,2027-09-30,1.7917808219178082,0.04,11.620000000000005,39.05,51.3,76.12085769980507,104.9,37.80717029449423,38.22,40.42,100.0,2000000000.0,電器電纜
合世三,17813.0,華南銀,4.39,2027-09-10,100.0,2027-09-24,1.7753424657534247,0.023,5.890000000000001,11.2,18.0,62.22222222222222,101.5,63.12500000000001,18.42,31.57,100.0,200000000.0,生技醫療
科妍三,17863.0,6,4.8,2027-07-18,102.01,2027-08-01,1.6273972602739726,0.04,42.80000000000001,74.6,116.5,64.0343347639485,138.0,115.50938337801608,40.75,42.96,100.0,400000000.0,生技醫療
允強四,20344.0,4,7.489999999999999,2027-09-18,100.0,2027-10-02,1.7972602739726027,0.04,12.989999999999995,20.1,24.0,83.75,105.5,25.970149253731336,26.47,39.4,100.0,2000000000.0,鋼鐵工業
國際中橡三,21043.0,5,2.3,2026-09-29,100.9,2026-10-13,0.8273972602739726,0.035,0.5,11.35,21.2,53.5377358490566,98.2,83.42202643171808,32.48,33.91,100.0,3500000000.0,橡膠工業
劍麟三,22283.0,5,5.42,2027-08-15,100.0,2027-08-29,1.704109589041096,0.03,34.22,108.0,85.36,126.52296157450797,128.8,1.7997037037037034,52.55,46.37,92.9,300000000.0,汽車工業
汎德永業一,22471.0,4,7.14,2028-06-12,100.0,2028-06-26,2.5315068493150683,0.027,13.340000000000003,292.5,289.4,101.07118175535592,106.2,5.074461538461517,24.6,25.07,100.0,1000000000.0,汽車工業
汎德永業二,22472.0,4,7.17,2028-06-16,100.0,2028-06-30,2.5424657534246577,0.027,15.170000000000002,292.5,280.2,104.389721627409,108.0,3.4584615384615214,24.6,25.07,100.0,1000000000.0,汽車工業
旺宏二,23372.0,5,10.540000000000001,2028-03-10,100.0,2028-03-24,2.2739726027397262,0.045,76.53999999999999,38.1,23.0,165.65217391304347,166.0,0.20997375328084544,60.12,54.51,47.51,3000000000.0,電子–半導體
順德一,23511.0,5,8.450000000000001,2028-06-03,100.0,2028-06-17,2.506849315068493,0.0325,32.44999999999999,78.4,72.4,108.28729281767954,124.0,14.510204081632661,44.61,45.52,100.0,1200000000.0,電子–半導體
