股鰾代號,詢圈/競價,CB代碼,發行標的,TCRI/擔保,發行量,主辦券商,到期日,董事會通過,股本(億),備註
6692,詢圈,66921,進能服一,TCRI6,2,元大證券,5Y,2025/5/8 00:00,5.877639,100-102%
2109,詢圈,21092,華豐二,TCRI6,10,富邦證券,3Y,2025/5/12 00:00,27.9349134,
4760,詢圈,47602,勤凱二,TCRI6,4,未定,3Y,2025/8/5 00:00,3.2218283,1.05
3701,競拍,37013,大眾控三,TCRI6,6,富邦證券,3Y,2025/10/3 00:00,23.6526612,
6547,競拍,65472,高端二,有擔保,7.5,未定,3Y,2025/11/6 00:00,32.874905,1.005
2762,詢圈,27621,世界健身一KY,TCRI5,5,未定,3Y,2025/11/12 00:00,11.25,100-101%
8467,競拍,84674,波力四KY,上海商銀,2.1,富邦證券,3Y,2025/11/13 00:00,5.0373575,1.005
8467,詢圈,84675,波力五KY,TCRI6,3.9,富邦證券,3Y,2025/11/13 00:00,5.0373575,1.005
3149,競拍,31494,正達四,有擔保,6.5,未定,3Y,2025/11/22 00:00,22.6233604,
3324,詢圈,33246,雙鴻六,TCRI4,30,凱基證券,5Y,2025/12/17 00:00,9.2762936,100-101%
3324,競拍,33247,雙鴻七,TCRI4,20,凱基證券,5Y,2025/12/17 00:00,9.2762936,1.02
