可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業
,,,,,,,,,,,,,,,,,,,
台泥一永,11011,twA+,6.15,2027/11/26,100,2027/12/10,1.947945205,0.03,3.1,22.8,35.2,64.77272727,96.95,49.67719298,24.75,25.76,100,8000000000,水泥工業
上曜六,13166,板信銀,2.09,2026/12/13,100.5,2026/12/27,0.994520548,0.023,19.09,15.8,17.4,90.8045977,117,28.84810127,36.69,47.14,100,400000000,建材營建
遠東新E1永,140201,3,4.33,2027/7/25,100,2027/8/8,1.608219178,0.025,8.33,36.7,43.1,85.15081206,104,22.13623978,17.19,22.39,100,1000000000,紡織纖維
聚隆四,14664,台中商銀,6,2028/6/6,100,2028/6/20,2.476712329,0.023,11.05,14.3,18.8,76.06382979,105.05,38.10769231,36.3,48.05,100,400000000,紡織纖維
三洋實業二,14722,台中商銀,2.41,2027/5/15,101.0025,2027/5/29,1.41369863,0.022,7.91,88.6,98.6,89.85801217,105.5,17.40744921,20.11,32.22,100,300000000,建材營建
亞力二,15142,6,6.19,2027/12/30,100.7519,2028/1/13,2.04109589,0.0325,23.69,103,109.2,94.32234432,117.5,24.57281553,32.92,42.3,100,1200000000,電機機械
中砂一,15601,4,4.02,2027/6/10,100,2027/6/24,1.484931507,0.025,41.22,375,284.6,131.7638791,137.2,4.125653333,37.58,47.43,99.94,1000000000,電機機械
和勤四,15864,合庫,1.78,2026/8/16,100,2026/8/30,0.668493151,0.022,11.28,25.15,30.74,81.81522446,109.5,33.83817097,32.71,29.95,100,200000000,電機機械
大亞五,16095,5,6.57,2027/9/16,100.75,2027/9/30,1.753424658,0.04,10.82,38.85,51.3,75.73099415,104.25,37.65830116,38.03,40.5,100,2000000000,電器電纜
合世三,17813,華南銀,4.13,2027/9/10,100,2027/9/24,1.736986301,0.022,6.08,11.05,18,61.38888889,101.95,66.07239819,14.4,31.46,100,200000000,生技醫療
